iter	Passed	Remaining
0	60	60192
1	60	30256
2	60	20260
3	61	15261
4	61	12263
5	62	10284
6	62	8853
7	62	7781
8	63	6947
9	63	6284
10	63	5738
11	64	5286
12	64	4900
13	64	4571
14	65	4284
15	65	4036
16	65	3814
17	66	3617
18	66	3441
19	67	3283
20	67	3138
21	67	3006
22	67	2886
23	68	2776
24	68	2676
25	68	2583
26	69	2497
27	69	2419
28	70	2344
29	70	2273
30	70	2207
31	71	2147
32	71	2089
33	71	2034
34	71	1983
35	72	1934
36	72	1888
37	72	1845
38	73	1804
39	73	1764
40	73	1726
41	74	1690
42	74	1656
43	74	1622
44	74	1590
45	75	1560
46	75	1532
47	75	1505
48	76	1479
49	76	1454
50	76	1430
51	77	1407
52	77	1384
53	77	1362
54	78	1342
55	78	1322
56	78	1302
57	79	1283
58	79	1265
59	79	1247
60	79	1230
61	80	1215
62	80	1199
63	81	1184
64	81	1171
65	81	1157
66	82	1143
67	82	1127
68	82	1114
69	82	1100
70	83	1087
71	83	1075
72	83	1062
73	83	1050
74	84	1039
75	84	1027
76	84	1016
77	85	1005
78	85	995
79	85	985
80	85	975
81	86	965
82	86	955
83	86	946
84	86	935
85	87	926
86	87	916
87	87	908
88	87	899
89	88	891
90	88	883
91	88	876
92	89	868
93	89	861
94	89	854
95	89	847
96	90	839
97	90	833
98	90	826
99	91	819
100	91	812
101	91	804
102	91	798
103	91	792
104	92	786
105	92	780
106	92	774
107	93	769
108	93	764
109	93	758
110	94	753
111	94	747
112	94	742
113	94	737
114	95	732
115	95	726
116	95	722
117	95	717
118	96	711
119	96	707
120	96	702
121	96	697
122	97	691
123	97	687
124	97	682
125	97	678
126	98	674
127	98	669
128	98	665
129	98	661
130	99	657
131	99	653
132	99	649
133	100	646
134	100	642
135	100	639
136	100	635
137	101	631
138	101	627
139	101	624
140	101	621
141	102	617
142	102	614
143	102	611
144	103	607
145	103	605
146	103	602
147	104	598
148	104	595
149	104	592
150	104	589
151	105	586
152	105	583
153	105	580
154	105	577
155	106	574
156	106	571
157	106	568
158	106	565
159	107	562
160	107	560
161	107	557
162	107	554
163	108	552
164	108	550
165	109	547
166	109	545
167	109	542
168	109	540
169	110	537
170	110	535
171	110	532
172	110	530
173	111	528
174	111	525
175	111	523
176	112	520
177	112	518
178	112	516
179	112	514
180	112	511
181	113	508
182	113	506
183	113	504
184	114	502
185	114	500
186	114	497
187	114	495
188	115	493
189	115	491
190	115	489
191	115	487
192	116	485
193	116	483
194	116	481
195	116	479
196	117	477
197	117	475
198	117	474
199	118	472
200	118	470
201	118	468
202	118	466
203	119	464
204	119	462
205	119	461
206	119	459
207	120	457
208	120	455
209	120	454
210	121	452
211	121	450
212	121	449
213	121	447
214	122	445
215	122	443
216	122	442
217	122	440
218	123	439
219	123	437
220	123	436
221	123	434
222	124	432
223	124	431
224	124	429
225	125	428
226	125	426
227	125	425
228	125	423
229	126	422
230	126	420
231	126	419
232	126	417
233	127	416
234	127	415
235	127	413
236	128	412
237	128	410
238	128	409
239	128	407
240	129	406
241	129	405
242	129	403
243	129	402
244	130	400
245	130	399
246	130	398
247	130	397
248	131	395
249	131	394
250	131	393
251	132	391
252	132	390
253	132	389
254	132	388
255	133	386
256	133	385
257	133	384
258	133	383
259	134	381
260	134	380
261	134	379
262	134	378
263	135	377
264	135	375
265	135	374
266	136	373
267	136	372
268	136	371
269	136	370
270	137	369
271	137	367
272	137	366
273	137	365
274	138	364
275	138	363
276	138	362
277	139	361
278	139	360
279	139	358
280	139	357
281	140	356
282	140	355
283	140	354
284	140	353
285	141	352
286	141	351
287	141	350
288	141	349
289	142	348
290	142	347
291	142	345
292	142	344
293	143	343
294	143	342
295	143	342
296	144	341
297	144	340
298	144	339
299	144	338
300	145	337
301	145	336
302	145	335
303	146	334
304	146	333
305	146	332
306	146	331
307	147	330
308	147	329
309	147	328
310	147	327
311	148	327
312	148	326
313	148	325
314	149	324
315	149	323
316	149	322
317	149	321
318	150	320
319	150	319
320	150	318
321	150	317
322	151	317
323	151	316
324	151	315
325	152	314
326	152	313
327	152	312
328	152	311
329	153	310
330	153	310
331	153	309
332	154	308
333	154	307
334	154	306
335	154	305
336	155	305
337	155	304
338	155	303
339	155	302
340	156	301
341	156	300
342	156	300
343	156	299
344	157	298
345	157	297
346	157	296
347	158	296
348	158	295
349	158	294
350	158	293
351	159	292
352	159	292
353	159	291
354	159	290
355	160	289
356	160	288
357	160	288
358	160	287
359	161	286
360	161	285
361	161	285
362	162	284
363	162	283
364	162	282
365	162	282
366	163	281
367	163	280
368	163	279
369	164	279
370	164	278
371	164	277
372	164	277
373	165	276
374	165	275
375	165	275
376	166	274
377	166	273
378	166	272
379	166	272
380	167	271
381	167	270
382	167	270
383	167	269
384	168	268
385	168	267
386	168	267
387	168	266
388	169	265
389	169	265
390	169	264
391	170	263
392	170	263
393	170	262
394	170	261
395	171	260
396	171	260
397	171	259
398	172	259
399	172	258
400	172	258
401	173	257
402	173	256
403	173	256
404	173	255
405	174	254
406	174	254
407	174	253
408	174	252
409	175	252
410	175	251
411	175	250
412	175	250
413	176	249
414	176	248
415	176	248
416	177	247
417	177	246
418	177	246
419	177	245
420	178	244
421	178	244
422	178	243
423	178	242
424	179	242
425	179	241
426	179	241
427	179	240
428	180	239
429	180	239
430	180	238
431	180	237
432	181	237
433	181	236
434	181	236
435	182	235
436	182	234
437	182	234
438	182	233
439	183	232
440	183	232
441	183	231
442	183	231
443	184	230
444	184	229
445	184	229
446	184	228
447	185	228
448	185	227
449	185	227
450	186	226
451	186	225
452	186	225
453	186	224
454	187	224
455	187	223
456	187	222
457	187	222
458	188	221
459	188	221
460	188	220
461	188	220
462	189	219
463	189	218
464	189	218
465	190	217
466	190	217
467	190	216
468	190	216
469	191	215
470	191	215
471	191	214
472	192	213
473	192	213
474	192	212
475	192	212
476	193	211
477	193	211
478	193	210
479	193	210
480	194	209
481	194	208
482	194	208
483	194	207
484	195	207
485	195	206
486	195	206
487	196	205
488	196	205
489	196	204
490	196	204
491	197	203
492	197	203
493	197	202
494	197	201
495	198	201
496	198	200
497	198	200
498	199	199
499	199	199
500	199	198
501	199	198
502	200	197
503	200	197
504	200	196
505	200	196
506	201	195
507	201	195
508	201	194
509	202	194
510	202	193
511	202	193
512	202	192
513	203	192
514	203	191
515	203	191
516	203	190
517	204	190
518	204	189
519	204	188
520	204	188
521	205	188
522	205	187
523	205	187
524	206	186
525	206	186
526	206	185
527	207	185
528	207	184
529	207	184
530	208	183
531	208	183
532	208	183
533	209	182
534	209	182
535	209	181
536	210	181
537	210	180
538	210	180
539	210	179
540	211	179
541	211	178
542	211	178
543	211	177
544	212	177
545	212	176
546	212	176
547	212	175
548	213	175
549	213	174
550	213	174
551	213	173
552	214	173
553	214	172
554	214	172
555	215	171
556	215	171
557	215	170
558	215	170
559	216	169
560	216	169
561	216	168
562	216	168
563	217	167
564	217	167
565	217	167
566	218	166
567	218	166
568	218	165
569	218	165
570	219	164
571	219	164
572	219	163
573	220	163
574	220	162
575	220	162
576	220	161
577	221	161
578	221	160
579	221	160
580	221	160
581	222	159
582	222	159
583	222	158
584	223	158
585	223	157
586	223	157
587	223	156
588	224	156
589	224	155
590	224	155
591	225	155
592	225	154
593	225	154
594	225	153
595	226	153
596	226	152
597	226	152
598	226	151
599	227	151
600	227	151
601	227	150
602	228	150
603	228	149
604	228	149
605	228	148
606	229	148
607	229	147
608	229	147
609	229	146
610	230	146
611	230	146
612	230	145
613	230	145
614	231	144
615	231	144
616	231	143
617	232	143
618	232	142
619	232	142
620	232	142
621	233	141
622	233	141
623	233	140
624	234	140
625	234	140
626	234	139
627	234	139
628	234	138
629	235	138
630	235	137
631	235	137
632	236	136
633	236	136
634	237	136
635	237	136
636	238	135
637	254	144
638	255	144
639	255	143
640	256	143
641	256	142
642	262	145
643	262	145
644	262	144
645	262	144
646	263	143
647	263	143
648	263	142
649	264	142
650	264	141
651	264	141
652	265	140
653	265	140
654	265	139
655	266	139
656	266	139
657	266	138
658	267	138
659	272	140
660	272	139
661	273	139
662	273	138
663	273	138
664	273	138
665	274	137
666	274	137
667	274	136
668	275	136
669	275	135
670	275	135
671	275	134
672	276	134
673	276	133
674	276	133
675	277	132
676	277	132
677	277	131
678	277	131
679	278	130
680	278	130
681	278	129
682	278	129
683	279	128
684	279	128
685	279	128
686	280	127
687	280	127
688	280	126
689	280	126
690	281	125
691	281	125
692	281	124
693	281	124
694	282	123
695	282	123
696	282	122
697	282	122
698	283	121
699	283	121
700	283	121
701	284	120
702	284	120
703	284	119
704	284	119
705	284	118
706	285	118
707	285	117
708	285	117
709	285	116
710	286	116
711	286	115
712	286	115
713	287	114
714	287	114
715	287	114
716	287	113
717	287	113
718	288	112
719	288	112
720	288	111
721	289	111
722	289	110
723	289	110
724	290	110
725	290	109
726	290	109
727	290	108
728	291	108
729	291	107
730	291	107
731	291	106
732	292	106
733	292	105
734	292	105
735	292	105
736	293	104
737	293	104
738	293	103
739	294	103
740	294	102
741	294	102
742	294	101
743	295	101
744	295	101
745	295	100
746	295	100
747	296	99
748	296	99
749	296	98
750	296	98
751	297	98
752	297	97
753	297	97
754	298	96
755	298	96
756	298	95
757	298	95
