iter	Passed	Remaining
0	60	60532
1	61	30495
2	61	20406
3	61	15381
4	62	12363
5	62	10388
6	63	8978
7	64	7955
8	64	7110
9	65	6462
10	65	5916
11	66	5466
12	66	5071
13	67	4727
14	67	4458
15	68	4206
16	68	3980
17	69	3797
18	69	3610
19	70	3463
20	71	3329
21	71	3200
22	73	3103
23	74	3028
24	75	2944
25	76	2848
26	76	2758
27	77	2680
28	78	2638
29	80	2587
30	80	2518
31	81	2454
32	81	2397
33	82	2333
34	82	2272
35	82	2215
36	83	2162
37	83	2116
38	85	2106
39	85	2059
40	86	2013
41	86	1970
42	86	1931
43	87	1891
44	87	1862
45	88	1831
46	88	1801
47	89	1770
48	89	1743
49	90	1722
50	91	1696
51	92	1679
52	92	1653
53	93	1630
54	93	1604
55	93	1579
56	94	1555
57	94	1530
58	94	1507
59	94	1485
60	95	1464
61	95	1443
62	95	1423
63	95	1403
64	96	1385
65	96	1367
66	97	1354
67	98	1343
68	98	1327
69	98	1311
70	99	1297
71	99	1284
72	99	1269
73	100	1254
74	100	1240
75	101	1229
76	101	1218
77	102	1208
78	102	1200
79	103	1189
80	103	1176
81	103	1163
82	104	1150
83	104	1138
84	104	1127
85	105	1123
86	106	1116
87	107	1109
88	107	1100
89	108	1092
90	108	1083
91	109	1075
92	109	1067
93	110	1061
94	110	1054
95	111	1048
96	112	1043
97	112	1035
98	112	1026
99	114	1026
100	114	1019
101	115	1013
102	115	1006
103	116	1000
104	116	995
105	118	998
106	119	994
107	119	988
108	120	985
109	121	981
110	121	975
111	124	984
112	124	977
113	124	970
114	125	965
115	126	961
116	126	957
117	127	952
118	127	946
119	128	942
120	128	936
121	129	930
122	129	923
123	129	916
124	130	910
125	130	904
126	130	897
127	131	892
128	133	899
129	133	894
130	134	891
131	134	887
132	135	882
133	135	876
134	136	872
135	136	867
136	137	863
137	137	859
138	138	857
139	138	852
140	139	852
141	140	846
142	140	842
143	141	843
144	142	839
145	142	835
146	143	832
147	144	829
148	144	825
149	144	821
150	145	816
151	146	814
152	146	810
153	146	806
154	147	804
155	148	801
156	148	797
157	148	793
158	149	789
159	149	784
160	149	779
161	150	777
162	150	772
163	150	768
164	150	764
165	151	760
166	151	756
167	151	751
168	152	747
169	152	743
170	152	740
171	153	736
172	153	733
173	154	731
174	154	728
175	155	729
176	157	731
177	157	728
178	158	724
179	158	721
180	158	717
181	158	714
182	159	711
183	159	707
184	159	704
185	160	702
186	161	700
187	161	698
188	162	696
189	162	694
190	163	692
191	163	689
192	164	688
193	165	686
194	166	686
195	166	684
196	167	682
197	168	681
198	168	678
199	168	675
200	169	672
201	169	670
202	170	668
203	170	665
204	171	664
205	171	660
206	171	657
207	171	654
208	172	651
209	172	649
210	173	648
211	174	647
212	174	644
213	174	642
214	175	639
215	176	639
216	176	637
217	176	634
218	177	631
219	177	629
220	177	626
221	178	623
222	178	621
223	178	619
224	179	617
225	179	615
226	179	612
227	180	610
228	180	608
229	182	609
230	182	608
231	183	607
232	184	607
233	185	607
234	186	606
235	186	604
236	187	602
237	187	599
238	187	597
239	187	595
240	188	592
241	188	590
242	188	588
243	189	586
244	189	585
245	190	583
246	190	581
247	191	579
248	191	578
249	192	578
250	193	577
251	194	576
252	194	574
253	195	572
254	195	570
255	195	568
256	196	566
257	196	564
258	196	562
259	197	560
260	197	558
261	197	556
262	198	554
263	198	553
264	198	551
265	199	549
266	199	549
267	200	548
268	201	547
269	201	545
270	202	543
271	202	541
272	202	540
273	203	538
274	203	536
275	203	534
276	203	532
277	204	530
278	204	528
279	204	526
280	205	525
281	205	524
282	206	523
283	206	521
284	207	520
285	207	518
286	208	517
287	209	516
288	209	515
289	209	513
290	210	511
291	210	510
292	210	508
293	211	507
294	211	506
295	212	505
296	213	504
297	213	503
298	214	503
299	215	502
300	215	501
301	217	501
302	217	500
303	218	499
304	218	498
305	219	496
306	219	495
307	220	494
308	220	493
309	221	492
310	221	491
311	222	490
312	222	488
313	222	487
314	223	485
315	223	484
316	224	483
317	224	481
318	224	480
319	225	478
320	225	476
321	225	475
322	226	474
323	227	474
324	227	472
325	228	472
326	229	471
327	229	470
328	229	468
329	230	467
330	231	468
331	232	466
332	232	465
333	232	463
334	233	462
335	233	461
336	233	459
337	233	458
338	234	457
339	235	456
340	235	455
341	235	454
342	236	452
343	236	451
344	236	449
345	237	448
346	237	446
347	237	445
348	238	444
349	238	443
350	238	441
351	239	440
352	239	439
353	239	437
354	240	436
355	240	435
356	240	433
357	241	432
358	241	431
359	242	430
360	242	429
361	243	428
362	243	427
363	244	426
364	244	426
365	245	425
366	245	424
367	246	422
368	246	421
369	246	419
370	246	418
371	247	417
372	247	416
373	248	415
374	248	414
375	249	413
376	249	412
377	250	411
378	250	410
379	251	409
380	251	408
381	251	406
382	252	405
383	252	404
384	252	403
385	252	402
386	253	400
387	253	399
388	253	398
389	254	398
390	255	397
391	255	396
392	256	395
393	256	394
394	257	393
395	257	393
396	258	393
397	259	392
398	259	391
399	260	390
400	260	389
401	261	388
402	261	387
403	261	386
404	262	385
405	262	384
406	262	382
407	263	381
408	263	380
409	263	379
410	264	378
411	264	377
412	265	376
413	265	375
414	266	375
415	266	374
416	267	374
417	268	373
418	269	373
419	269	372
420	269	371
421	270	370
422	270	369
423	270	367
424	271	366
425	271	365
426	271	364
